Transaction_Date,Amount,ExtDesc,other
6/19/2012 22:11,-9.75,SQ *BIG-ASS SANDWICHES Portland     ORUS,other
6/20/2012 4:14,-6.25,SAINT CUPCAKE          PORTLAND     ORUS,other
6/21/2012 13:01,-8.36,TACO BELL #2622        PORTLAND     ORUS,other
6/21/2012 15:42,-10.39,SESAME DONUTS          PORTLAND     ORUS,other
6/25/2012 16:32,-0.99,HAGGEN FOOD AND PH 8515 SW TUALATIN-S     TUALATIN     ORUS,other
6/26/2012 11:47,-80.85,PCC Sylvania Bookstore PORTLAND     ORUS,other
6/29/2012 10:04,-25.72,HAGGEN FOOD AND PH 8515 SW TUALATIN-S     TUALATIN     ORUS,other
6/29/2012 20:49,-8.39,CARLS JR #7159    Q15 TUALATIN     ORUS,other
6/30/2012 14:24,-7.43,FRED MEYER 393         TUALATIN     ORUS,other
6/30/2012 17:24,0.02,,other
7/6/2012 12:36,-13.59,AMAZON MKTPLACE PMTS   AMZN.COM/BILLWAUS,other
7/12/2012 13:46,-24.03,FRED MEYER 393         TUALATIN     ORUS,other
7/16/2012 13:38,-9.76,TACO BELL #3187        TIGARD       ORUS,other
7/18/2012 4:54,-4.99,VALVE SOFTWARE         425-8899642  WAUS,other
7/18/2012 4:54,-7.48,VALVE SOFTWARE         425-8899642  WAUS,other
7/18/2012 4:54,-19.96,VALVE SOFTWARE         425-8899642  WAUS,other
7/18/2012 4:54,-9.99,VALVE SOFTWARE         425-8899642  WAUS,other
7/18/2012 18:18,-105,DEQ VIP SH14962 SW TUALSHERWOOD     ORUS,other
7/18/2012 18:19,-30,DEQ VIP SH14962 SW TUALSHERWOOD     ORUS,other
7/19/2012 15:00,0,WINCO FOODS #0023 7501 DARTMOUTH ST.     TIGARD       ORUS,other
7/19/2012 15:01,-61,WINCO FOODS #0023 7501 DARTMOUTH ST.     TIGARD       ORUS,other
7/20/2012 17:40,-7.48,TACO BELL 0   00166009 TIGARD       ORUS,other
7/23/2012 15:50,-14.77,SAFEWAY  STORE  0512 8145 SW BARBUR BLVD    PORTLAND     ORU,other
7/30/2012 3:28,250,PAYPAL TRANSFER - TRANSFER,other
7/31/2012 12:29,-20.5,FRED MEYER 393         TUALATIN     ORUS,other
7/31/2012 15:11,1,,other
7/31/2012 21:11,0.65,,other
8/9/2012 3:57,-10.17,PAYPAL INSTANT TRANSFER - INST XFER,other
8/14/2012 13:10,-11.27,FRED MEYER 393         TUALATIN     ORUS,other
8/17/2012 17:24,-8.37,TACO BELL #3163        TUALATIN     ORUS,other
8/21/2012 3:20,1.11,GOOGLE ADSENSE GOOGLE.COM - REVENUE SH,other
8/21/2012 21:26,-25.38,FRED MEYER 393         TUALATIN     ORUS,other
8/22/2012 17:58,-20.66,FRED MEYER 393         TUALATIN     ORUS,other
8/29/2012 2:43,-27.27,ROUND TABLE PIZZA #319 5036611011   ORUS,other
8/31/2012 20:53,0.01,,other
9/1/2012 8:35,-20,CHEVRON 00210319       TUALATIN     ORUS,other
9/20/2012 0:08,-8,INFLIGHT US AIRWAYS    PHOENIX      AZUS,other
9/30/2012 17:50,0.01,,other
10/1/2012 12:35,-17.08,HAGGEN FOOD AND PH 8515 SW TUALATIN-S     TUALATIN     ORUS,other
10/26/2012 12:38,-7.76,TACO BELL #3163        TUALATIN     ORUS,other
10/26/2012 17:58,-8.45,HAGGEN FOOD AND PH 8515 SW TUALATIN-S     TUALATIN     ORUS,other
10/31/2012 21:17,0.01,,other
11/21/2012 3:15,-9.17,PCC SYLVANIA DINING    PORTLAND     ORUS,other
11/21/2012 9:23,-23.72,FRED MEYER 393         TUALATIN     ORUS,other
11/27/2012 3:21,104.95,GOOGLE ADSENSE GOOGLE.COM - REVENUE SH,other
11/30/2012 20:59,0.01,,other
12/2/2012 18:38,-6.67,FRED MEYER 393         TUALATIN     ORUS,other
12/12/2012 0:42,-7.49,PCC SYLVANIA DINING    PORTLAND     ORUS,other
12/13/2012 19:33,-11.94,FRED MEYER 393         TUALATIN     ORUS,other
12/14/2012 11:41,-9.68,TACO BELL #3163        TUALATIN     ORUS,other
12/17/2012 13:49,-17.66,FRED MEYER 393         TUALATIN     ORUS,other
12/20/2012 10:02,-20,,other
12/21/2012 21:54,-20,PMG E SUNSET           PORTLAND     ORUS,other
12/22/2012 14:01,-20,CHEVRON 00210319       TUALATIN     ORUS,other
12/23/2012 0:35,-15.95,NEW KINGS BUFFET       TIGARD       ORUS,other
12/28/2012 16:07,-44,RUSSELL STREET BAR-B-Q PORTLAND     ORUS,other
12/30/2012 11:08,20,Shared Branch e-deposit               Palo Alto     CA,other
12/30/2012 11:14,20,Shared Branch e-deposit               Palo Alto     CA,other
12/30/2012 11:18,185,Shared Branch e-deposit               Palo Alto     CA,other
12/31/2012 21:08,0.01,,other
1/11/2013 13:19,-16.22,TACO BELL #3163        TUALATIN     ORUS,other
1/12/2013 14:30,-13.47,HAGGEN FOOD AND PH 8515 SW TUALATIN-S     TUALATIN     ORUS,other
1/15/2013 15:32,-10.12,PLAID PANTRY #16 19405 SW BOONES FERRY RTUALATIN     ORUS,other
1/17/2013 21:21,-9.2,FRED MEYER 393         TUALATIN     ORUS,other
1/30/2013 19:36,-14.96,CARLS JR #7159    Q15 TUALATIN     ORUS,other
1/31/2013 20:42,-39.98,ANCIENT WONDERS        TUALATIN     ORUS,other
1/31/2013 21:23,0.01,,other
2/4/2013 6:21,-23.15,BUFFALO WILD WINGS #357TUALATIN     ORUS,other
2/5/2013 21:22,-7.57,HAGGEN FOOD AND PH 8515 SW TUALATIN-S     TUALATIN     ORUS,other
2/6/2013 10:50,-8.29,CARLS JR 7159         TUALATIN     ORUS,other
2/9/2013 16:45,-3.84,FRED MEYER 040         PORTLAND     ORUS,other
2/13/2013 3:28,90.47,PAYPAL TRANSFER - TRANSFER,other
2/13/2013 15:33,-15.99,FRED MEYER 393         TUALATIN     ORUS,other
2/19/2013 16:16,-6.33,SQ *GOODNESS COFFEE HOUBeaverton    ORUS,other
2/21/2013 14:11,0,BANK OF AMERICA *HAGGEN TUALATIN       TUALATIN     ORUS,other
2/22/2013 9:54,-110,PMG E SUNSET           PORTLAND     ORUS,other
2/22/2013 11:39,-17.12,TACO BELL #3163        TUALATIN     ORUS,other
2/24/2013 12:30,-5.99,PIZZA SCHMIZZA RALEIGH BEAVERTON    ORUS,other
2/24/2013 12:30,-9.49,PIZZA SCHMIZZA RALEIGH BEAVERTON    ORUS,other
2/24/2013 15:47,-10.49,SESAME DONUTS          PORTLAND     ORUS,other
2/25/2013 3:32,135,PAYPAL TRANSFER - TRANSFER,other
2/28/2013 21:15,0.26,,other
3/1/2013 3:57,-6.2,CHIPOTLE 1015          TUALATIN     ORUS,other
3/5/2013 21:21,-13.27,FRED MEYER 393         TUALATIN     ORUS,other
3/20/2013 11:21,-12.99,TACO BELL #3163        TUALATIN     ORUS,other
3/22/2013 13:57,-68.71,CHEVRON 00210319       TUALATIN     ORUS,other
3/22/2013 14:19,-9.87,FRED MEYER 393         TUALATIN     ORUS,other
3/22/2013 17:51,-26.42,FRED MEYER 393         TUALATIN     ORUS,other
3/22/2013 19:17,-9.99,VALVE SOFTWARE         425-8899642  WAUS,other
3/31/2013 20:24,0.01,,other
4/3/2013 4:44,-13.73,PAYPAL INSTANT TRANSFER - INST XFER,other
4/6/2013 21:54,-3.1,7-ELEVEN 8635 SW BARBUR BLV     PORTLAND     ORUS,other
4/14/2013 3:09,-21.26,BEAVERTON DQ #16068    BEAVERTON    ORUS,other
4/25/2013 3:36,105.23,GOOGLE ADSENSE GOOGLE.COM - REVENUE SH,other
5/3/2013 16:49,-10.85,FRED MEYER 393         TUALATIN     ORUS,other
5/10/2013 4:26,-1.23,PAYPAL INSTANT TRANSFER - INST XFER,other
5/18/2013 15:21,-6.28,HAGGEN FOOD AND PH 8515 SW TUALATIN-S     TUALATIN     ORUS,other
5/28/2013 4:54,-9.75,PAYPAL INSTANT TRANSFER - INST XFER,other
5/28/2013 8:45,-8.98,QDOBA 380     11303807 TUALATIN     ORUS,other
6/9/2013 19:56,-5.56,PLAID PANTRY #0019 15995 SW HALL BLVD.    TIGARD       ORUS,other
6/15/2013 14:29,-14.35,BAJA FRESH MEXICAN GRI LAKE OSWEGO  ORUS,other
6/28/2013 21:45,-15.25,OR LIQUOR 9875 SW BARBUPORTLAND     ORUS,other
6/29/2013 3:38,-6.75,SQ *WHATS THE SCOOP?  Portland     ORUS,other
7/12/2013 21:51,-4.59,FRED MEYER 040         PORTLAND     ORUS,other
7/15/2013 14:27,-8.9,FRED MEYER 393         TUALATIN     ORUS,other
7/28/2013 17:36,-11,FLIPPING BURGER        PORTLAND     ORUS,other
8/14/2013 3:30,5.08,PAYPAL TRANSFER - TRANSFER,other
8/21/2013 3:26,10.01,PAYPAL TRANSFER - TRANSFER,other
8/26/2013 4:32,-5,PAYPAL INSTANT TRANSFER - INST XFER,other
9/4/2013 2:17,-7.8,POTBELLY  308          LAKE OSWEGO  ORUS,other
9/4/2013 3:30,18.34,PAYPAL TRANSFER - TRANSFER,other
9/14/2013 13:01,-4.35,BURGERVILLE USA #14    PORTLAND     ORUS,other
9/14/2013 13:11,396.28,FIRST TECH 8700 SW NIMBUS AVE     BEAVERTON    ORUS,other
9/15/2013 16:22,-24.25,FIRE ON THE MOUNTAIN B PORTLAND     ORUS,other
9/16/2013 23:50,-6,POTBELLY  308          LAKE OSWEGO  ORUS,other
9/17/2013 18:16,-3.28,HAGGEN FOOD AND PH     TUALATIN     ORUS,other
9/18/2013 4:12,-107.03,PAYPAL INSTANT TRANSFER - INST XFER,other
9/20/2013 3:11,-8.6,CHIPOTLE 1645          LAKE OSWEGO  ORUS,other
9/21/2013 3:44,-9,FLYING PIE PIZZERIA    LAKE OSWEGO  ORUS,other
9/23/2013 4:59,-48.08,PAYPAL INSTANT TRANSFER - INST XFER,other
9/23/2013 20:51,-12.5,DANGS THAI KITCHEN     LAKE OSWEGO  ORUS,other
9/24/2013 3:32,334.87,Google Inc. EDI - EDI PYMNTS,other
9/26/2013 2:24,-8.6,CHIPOTLE 1645          LAKE OSWEGO  ORUS,other
9/26/2013 10:26,-317.99,AMAZON MKTPLACE PMTS   AMZN.COM/BILLWAUS,other
9/30/2013 21:19,0.01,,other
9/30/2013 23:54,-8,POTBELLY  308          LAKE OSWEGO  ORUS,other
10/1/2013 20:21,-19.55,VALVE SOFTWARE         425-8899642  WAUS,other
10/2/2013 16:49,-9.75,BUSTERS TEXAS STYLE BBQTIGARD       ORUS,other
10/2/2013 18:24,-5.07,FRED MEYER 393         TUALATIN     ORUS,other
10/5/2013 22:16,-24.44,FRED MEYER 040         PORTLAND     ORUS,other
10/6/2013 11:02,-28,REGAL CINEMAS TIGARD   TIGARD       ORUS,other
10/6/2013 11:19,-18.4,CARLS JR 8104         TIGARD       ORUS,other
10/9/2013 0:10,-8,POTBELLY  308          LAKE OSWEGO  ORUS,other
10/13/2013 12:39,896.03,FIRST TECH 8700 SW NIMBUS AVE     BEAVERTON    ORUS,other
10/15/2013 1:56,906.13,WAGGENER EDSTROM 350001092443      05 - DIRECT DEP,other
10/15/2013 20:08,-15,PINE SHED RIBS AND BARBLAKE OSWEGO  ORUS,other
10/17/2013 11:41,-158,MALETIS BEVERAGE       PORTLAND     ORUS,other
10/17/2013 19:27,-4.99,VALVE SOFTWARE         425-8899642  WAUS,other
10/18/2013 3:34,-6,POTBELLY  308          LAKE OSWEGO  ORUS,other
10/24/2013 17:16,-20.35,FRED MEYER 393         TUALATIN     ORUS,other
10/26/2013 18:35,-10.8,FRED MEYER 040         PORTLAND     ORUS,other
10/27/2013 1:21,-9.18,BAJA FRESH BARBUR      PORTLAND     ORUS,other
10/30/2013 23:05,1309.73,WAGGENER EDSTROM 350001092443      05 - DIRECT DEP,other
10/31/2013 21:10,1.49,,other
11/1/2013 3:06,-6.7,CHIPOTLE 1645          LAKE OSWEGO  ORUS,other
11/2/2013 13:02,-36.9,OR LIQUOR STORE #074   PORTLAND     ORUS,other
11/2/2013 13:38,-9.97,TRADER JOES # 142     LAKE OSWEGO  ORUS,other
11/2/2013 19:31,-12.03,FRED MEYER 393         TUALATIN     ORUS,other
11/5/2013 10:14,-10.98,APL*APPLE ITUNES STORE 866-712-7753 CAUS,other
11/5/2013 20:14,-22.99,VALVE SOFTWARE         425-8899642  WAUS,other
11/9/2013 14:07,543.03,FIRST TECH 8700 SW NIMBUS AVE     BEAVERTON    ORUS,other
11/22/2013 15:34,-37.85,FRED MEYER 393         TUALATIN     ORUS,other
11/22/2013 20:18,-14.67,VALVE SOFTWARE         425-8899642  WAUS,other
11/23/2013 20:45,-7.57,FRED MEYER 040         PORTLAND     ORUS,other
11/29/2013 2:19,-9.99,STEAMPOWERED.COM       425-952-2785 WAUS,other
11/29/2013 23:58,-0.99,STEAMPOWERED.COM       425-952-2785 WAUS,other
11/29/2013 23:58,-3.74,STEAMPOWERED.COM       425-952-2785 WAUS,other
11/30/2013 15:21,-16.06,UWAJIMAYA BEAVE 10500 S.W. HILLSDALE HWBEAVERTON    ORUS,other
11/30/2013 18:15,0.14,,other
12/2/2013 9:54,-2.49,STEAMPOWERED.COM       425-952-2785 WAUS,other
12/2/2013 20:44,-7.73,VALVE SOFTWARE         425-8899642  WAUS,other
12/2/2013 20:44,-0.99,VALVE SOFTWARE         425-8899642  WAUS,other
12/3/2013 11:59,-12.93,TACO BELL #3163        TUALATIN     ORUS,other
12/6/2013 20:34,-14.99,VALVE SOFTWARE         425-8899642  WAUS,other
12/7/2013 20:22,-9.44,SAFEWAY STORE     3136 PORTLAND     ORUS,other
12/11/2013 19:51,-15.48,FRED MEYER 393         TUALATIN     ORUS,other
12/20/2013 20:20,-11.03,SAFEWAY STORE     3136 PORTLAND     ORUS,other
12/22/2013 3:48,-4.99,STEAMPOWERED.COM       425-952-2785 WAUS,other
12/23/2013 19:35,-29.99,VALVE SOFTWARE         425-8899642  WAUS,other
12/23/2013 19:35,-3.62,VALVE SOFTWARE         425-8899642  WAUS,other
12/23/2013 22:03,-51.74,FRED MEYER 393         TUALATIN     ORUS,other
12/29/2013 3:05,-3.02,STEAMPOWERED.COM       425-952-2785 WAUS,other
12/31/2013 14:22,-25.46,FRED MEYER 393         TUALATIN     ORUS,other
12/31/2013 16:06,-15,TUALATIN PHARMACY      TUALATIN     ORUS,other
12/31/2013 21:14,0.14,,other
1/1/2014 10:45,-62.84,DOMINOS 7219          503-639-3300 ORUS,other
1/3/2014 20:18,-3.51,VALVE SOFTWARE         425-8899642  WAUS,other
1/8/2014 7:54,-7.5,SUBWAY        00016493 TUALATIN     ORUS,other
1/10/2014 11:44,-8.28,CARLS JR 7159         TUALATIN     ORUS,other
1/10/2014 12:34,-74.95,PORTLAND COMMUNITY COLLPORTLAND     ORUS,other
1/11/2014 21:00,-10.98,SAFEWAY STORE     3136 PORTLAND     ORUS,other
1/14/2014 14:36,-19.92,FRED MEYER 393         TUALATIN     ORUS,other
1/16/2014 18:08,-5.25,PCC SYLVANIA DINING    PORTLAND     ORUS,other
1/17/2014 9:00,-6.25,SUBWAY        00016493 TUALATIN     ORUS,other
1/17/2014 23:43,-5,PCC PARKING            PORTLAND     ORUS,other
1/20/2014 10:08,-6.59,PANDA EXPRESS 1689     LAKE OSWEGO  ORUS,other
1/20/2014 10:50,-8.28,CARLS JR 7159         TUALATIN     ORUS,other
1/20/2014 21:11,-12.22,AMAZON.COM             SEATTLE      WAUS,other
1/25/2014 20:11,-16.02,FRED MEYER 040         PORTLAND     ORUS,other
1/28/2014 23:31,-5,PCC PARKING            PORTLAND     ORUS,other
1/30/2014 11:13,-8.88,CARLS JR 7159         TUALATIN     ORUS,other
1/30/2014 18:23,-5.6,PCC SYLVANIA DINING    PORTLAND     ORUS,other
1/30/2014 23:48,-5,PCC PARKING            PORTLAND     ORUS,other
1/31/2014 21:47,0.13,,other
2/1/2014 11:51,-28.83,FEDEX 803692393861     800-4633339  TNUS,other
2/2/2014 1:22,-1.25,INONE VENDING 5        HUNT VALLEY  MDUS,other
2/2/2014 9:17,-1.75,COCA COLA WILSONVILLE O888-227-2653 ORUS,other
2/4/2014 18:26,-7,PCC SYLVANIA DINING    PORTLAND     ORUS,other
2/5/2014 0:34,-1.25,INONE VENDING 2        HUNT VALLEY  MDUS,other
2/6/2014 12:40,-55.23,CHEVRON 00098209       TIGARD       ORUS,other
2/6/2014 18:27,-6,PCC SYLVANIA DINING    PORTLAND     ORUS,other
2/11/2014 17:51,-3.11,FRED MEYER 393         TUALATIN     ORUS,other
2/11/2014 18:14,-2.25,PCC SYLVANIA DINING    PORTLAND     ORUS,other
2/11/2014 18:14,-6.18,PCC SYLVANIA DINING    PORTLAND     ORUS,other
2/12/2014 0:42,-1.75,INONE VENDING 2        HUNT VALLEY  MDUS,other
2/13/2014 18:15,-5.24,PCC SYLVANIA DINING    PORTLAND     ORUS,other
2/17/2014 21:47,-37.62,THIRSTY LION PUB AND GRTIGARD       ORUS,other
2/18/2014 13:44,-12.99,HAGGEN FOOD AND PH     TUALATIN     ORUS,other
2/18/2014 18:15,-3.45,PCC SYLVANIA DINING    PORTLAND     ORUS,other
2/25/2014 19:53,-14.76,510159630000057 STEAMPOWERED.COM       425-8899642  WAUS,other
2/27/2014 18:19,-6.1,34579062688 PCC SYLVANIA DINING    PORTLAND     ORUS,other
2/28/2014 21:54,0.11,,other
3/2/2014 19:56,-27.68,FRED MEYER 040         PORTLAND     ORUS,other
3/4/2014 18:28,-6.7,34579062688 PCC SYLVANIA DINING    PORTLAND     ORUS,other
3/6/2014 14:20,-6.97,FRED MEYER 393         TUALATIN     ORUS,other
3/6/2014 20:21,-10.45,6320055957MDF1 MCDONALDS F5957       TUALATIN     ORUS,other
3/8/2014 14:12,-27.61,FRED MEYER 393         TUALATIN     ORUS,other
3/11/2014 19:09,-2.25,34579062688 PCC SYLVANIA DINING    PORTLAND     ORUS,other
3/13/2014 18:21,-7.44,34579062688 PCC SYLVANIA DINING    PORTLAND     ORUS,other
3/13/2014 18:21,-1.7,34579062688 PCC SYLVANIA DINING    PORTLAND     ORUS,other
3/17/2014 19:06,-16.44,FRED MEYER 393         TUALATIN     ORUS,other
3/18/2014 23:43,-5,34579061288 PCC PARKING            PORTLAND     ORUS,other
3/20/2014 16:22,-2.49,542929805464419 STEAMGAMES.COM         425-889-9642 WAUS,other
3/22/2014 12:12,-21.73,FRED MEYER 393         TUALATIN     ORUS,other
3/23/2014 11:25,-6.97,335030650881 TACO BELL #3163        TUALATIN     ORUS,other
3/25/2014 21:43,-7.37,FRED MEYER 393         TUALATIN     ORUS,other
3/26/2014 11:43,-8.34,335030650881 TACO BELL #3163        TUALATIN     ORUS,other
3/30/2014 17:55,-52.5,8788430013565 RUSSELL STREET BAR-B-Q PORTLAND     ORUS,other
3/30/2014 19:19,-17.95,FRED MEYER 393         TUALATIN     ORUS,other
3/31/2014 21:26,0.11,,other
4/9/2014 3:39,-80,222514000222145 MHE*MCGRAW-HILL ECOMM  800-648-3045 NYUS,other
4/9/2014 11:40,-7.35,335030650881 TACO BELL #3163        TUALATIN     ORUS,other
4/15/2014 14:58,-9.69,FRED MEYER 393         TUALATIN     ORUS,other
4/16/2014 11:08,-9.58,4445011103911 CARLS JR 7159         TUALATIN     ORUS,other
4/17/2014 16:37,-2.78,FRED MEYER 393         TUALATIN     ORUS,other
4/17/2014 18:52,-8.38,34579062688 PCC SYLVANIA DINING    PORTLAND     ORUS,other
4/19/2014 15:39,-3.88,FRED MEYER 040         PORTLAND     ORUS,other
4/20/2014 17:27,-46.45,650000006122215 SHARIS OF GARDEN HOME 2PORTLAND     ORUS,other
4/21/2014 21:33,297,OR REVENUE DEPT  - TAX REFUND,other
4/23/2014 3:37,323.02,TAX PRODUCTS PE3 ORIG SUNRISE BANKS - SBTPG LLC,other
4/23/2014 20:40,-10.55,35-8023300828 ORIGINAL BAVARIAN SAUSATIGARD       ORUS,other
4/24/2014 14:32,-17.78,FRED MEYER 393         TUALATIN     ORUS,other
4/27/2014 18:47,-7.45,FRED MEYER 393         TUALATIN     ORUS,other
4/30/2014 21:50,3.25,,other
5/6/2014 14:15,-0.99,PLAID PANTRY #16 19405 SW BOONES FERRY RTUALATIN     ORUS,other
5/6/2014 18:31,-4.95,34579062688 PCC SYLVANIA DINING    PORTLAND     ORUS,other
5/10/2014 18:39,-20.2,WINCO FOODS 7500 DARTMOTigard       ORUS,other
5/11/2014 16:40,-9.08,FRED MEYER 393         TUALATIN     ORUS,other
5/11/2014 20:36,-25.3,530960670100155 SUSHI HANA             TIGARD       ORUS,other
5/15/2014 8:56,-1.75,19-80207046 COCA COLA WILSONVILLE O888-227-2653 ORUS,other
5/20/2014 15:22,-17.79,FRED MEYER 393         TUALATIN     ORUS,other
5/20/2014 18:30,-3.25,34579062688 PCC SYLVANIA DINING    PORTLAND     ORUS,other
5/21/2014 11:28,-13.42,335030650881 TACO BELL #3163        TUALATIN     ORUS,other
5/22/2014 18:31,-4.25,34579062688 PCC SYLVANIA DINING    PORTLAND     ORUS,other
5/29/2014 9:02,-1.5,19-80207046 COCA COLA WILSONVILLE O888-227-2653 ORUS,other
5/29/2014 18:28,-6.25,34579062688 PCC SYLVANIA DINING    PORTLAND     ORUS,other
5/30/2014 8:30,-1.5,19-80207046 COCA COLA WILSONVILLE O888-227-2653 ORUS,other
5/31/2014 18:59,0.12,,other
6/3/2014 12:15,-10.43,335030650881 TACO BELL #3163        TUALATIN     ORUS,other
